aircraft_name,image_type,source_url,source_domain,local_file_path
AS350B3,interior,https://www.chugoku-np.co.jp/mwimgs/e/f/860h/img_eff8dbc791f9d01b9e5b1d24f1f21603135421.jpg,www.chugoku-np.co.jp,C:\Users\rajsh\OneDrive\Desktop\MY First PYTHON\Aircraft_Images\AS350B3\interior_08.jpg
AS350B3,interior,https://www.hpam.jp/museum/wp-content/uploads/2020/07/0706松重美人データ中）.jpg,www.hpam.jp,C:\Users\rajsh\OneDrive\Desktop\MY First PYTHON\Aircraft_Images\AS350B3\interior_09.jpg
AS350B3,interior,https://www.yomiuri.co.jp/media/2025/06/20250619-OYT8I50001-1.jpg?type=large,www.yomiuri.co.jp,C:\Users\rajsh\OneDrive\Desktop\MY First PYTHON\Aircraft_Images\AS350B3\interior_10.jpg
AS355,exterior,https://www.phs.com.au/wp-content/uploads/2016/08/AS355F2.jpg,www.phs.com.au,C:\Users\rajsh\OneDrive\Desktop\MY First PYTHON\Aircraft_Images\AS355\exterior_01.jpg
AS355,exterior,https://www.helicopterprivateservices.com/wp-content/uploads/2016/05/Airbus-AS-355.jpg,www.helicopterprivateservices.com,C:\Users\rajsh\OneDrive\Desktop\MY First PYTHON\Aircraft_Images\AS355\exterior_02.jpg
AS355,exterior,https://avpay.aero/wp-content/uploads/2010-Eurocopter-AS355-NP-Turbine-Helicopter-From-Pacific-AirHub-On-AvPay-aircraft-exterior-front-right.jpg,avpay.aero,C:\Users\rajsh\OneDrive\Desktop\MY First PYTHON\Aircraft_Images\AS355\exterior_03.jpg
AS355,exterior,https://airlinesconnection.com/app/uploads/2018/09/airbus-helicopters-as355n-ecureuil-2-exterior-airlines-connection.jpg,airlinesconnection.com,C:\Users\rajsh\OneDrive\Desktop\MY First PYTHON\Aircraft_Images\AS355\exterior_04.jpg
AS355,exterior,https://avpay.aero/wp-content/uploads/2000-Eurocopter-AS355-F2-Turbine-Helicopter-For-Sale-From-Heli-Pro-Helicopter-Service-On-AvPay-exterior-2.jpg,avpay.aero,C:\Users\rajsh\OneDrive\Desktop\MY First PYTHON\Aircraft_Images\AS355\exterior_05.jpg
AS355,interior,https://uniq.la/images/62S7dzcCjr.jpg,uniq.la,C:\Users\rajsh\OneDrive\Desktop\MY First PYTHON\Aircraft_Images\AS355\interior_01.jpg
AS355,interior,https://assets.paramountbusinessjets.com/media/fleet/AS355N.INTERIOR.jpg,assets.paramountbusinessjets.com,C:\Users\rajsh\OneDrive\Desktop\MY First PYTHON\Aircraft_Images\AS355\interior_02.jpg
AS355,interior,https://www.helicopterprivateservices.com/wp-content/uploads/2015/04/IMG_107104748679017.jpeg,www.helicopterprivateservices.com,C:\Users\rajsh\OneDrive\Desktop\MY First PYTHON\Aircraft_Images\AS355\interior_03.jpg
AS355,interior,http://www.transglobalaviation.net/avimages/aircraftlarge/584_4194.jpg,www.transglobalaviation.net,C:\Users\rajsh\OneDrive\Desktop\MY First PYTHON\Aircraft_Images\AS355\interior_04.jpg
